ProjectID,Vendor,BusinessUnit,Category,PlannedDays,ActualDays,Budget,ActualSpend,ScheduleVariancePct,BudgetVariancePct,ScheduleZscore,BudgetZscore,RiskTier,OTIF
PRJ-1000,Vendor B,BU-4,Hardware,73,84,54185,60863,15.07,12.32,0.05,0.46,Low,On-Time
PRJ-1001,Vendor C,BU-1,Services,82,109,43048,48467,32.93,12.59,1.0,0.48,Low,Delayed
PRJ-1002,Vendor B,BU-3,Software,102,90,43579,41174,-11.76,-5.52,1.63,0.81,Medium,On-Time
PRJ-1003,Vendor B,BU-2,Hardware,91,92,41834,43643,1.1,4.32,0.87,0.11,Low,On-Time
PRJ-1004,Vendor C,BU-1,Components,80,111,54365,60972,38.75,12.15,1.35,0.45,Medium,Delayed
PRJ-1005,Vendor B,BU-1,Software,102,92,53132,44927,-9.8,-15.44,1.51,1.52,Medium,On-Time
PRJ-1006,Vendor B,BU-1,Services,93,108,34863,27992,16.13,-19.71,0.01,1.83,Medium,On-Time
PRJ-1007,Vendor A,BU-4,Components,95,80,54861,51838,-15.79,-5.51,1.87,0.81,Medium,On-Time
PRJ-1008,Vendor A,BU-4,Hardware,98,115,63414,65920,17.35,3.95,0.09,0.13,Low,On-Time
PRJ-1009,Vendor A,BU-2,Components,94,121,42812,41027,28.72,-4.17,0.76,0.72,Low,Delayed
PRJ-1010,Vendor B,BU-2,Hardware,102,126,34432,35085,23.53,1.9,0.45,0.28,Low,Delayed
PRJ-1011,Vendor C,BU-4,Software,89,135,10703,16739,51.69,56.4,2.11,3.62,Critical,Delayed
PRJ-1012,Vendor A,BU-1,Components,68,81,63552,62375,19.12,-1.85,0.19,0.55,Low,On-Time
PRJ-1013,Vendor A,BU-2,Hardware,77,84,63731,64100,9.09,0.58,0.4,0.38,Low,On-Time
PRJ-1014,Vendor D,BU-1,Services,110,120,45360,50993,9.09,12.42,0.4,0.47,Low,On-Time
PRJ-1015,Vendor A,BU-1,Software,94,99,50076,47901,5.32,-4.34,0.62,0.73,Low,On-Time
PRJ-1016,Vendor B,BU-1,Components,96,98,53224,44709,2.08,-16.0,0.81,1.56,Medium,On-Time
PRJ-1017,Vendor C,BU-2,Services,61,87,50903,72381,42.62,42.19,1.58,2.6,High,Delayed
PRJ-1018,Vendor A,BU-2,Services,81,89,55097,53958,9.88,-2.07,0.35,0.57,Low,On-Time
PRJ-1019,Vendor A,BU-3,Hardware,101,94,71041,62610,-6.93,-11.87,1.34,1.27,Medium,On-Time
PRJ-1020,Vendor C,BU-3,Components,82,115,75599,93574,40.24,23.78,1.43,1.28,Medium,Delayed
PRJ-1021,Vendor A,BU-3,Components,74,82,36208,43233,10.81,19.4,0.3,0.97,Low,On-Time
PRJ-1022,Vendor D,BU-1,Components,84,97,65657,71572,15.48,9.01,0.02,0.23,Low,On-Time
PRJ-1023,Vendor C,BU-3,Components,93,127,31445,30502,36.56,-3.0,1.22,0.63,Medium,Delayed
PRJ-1024,Vendor C,BU-4,Services,99,144,53394,67241,45.45,25.93,1.74,1.44,Medium,Delayed
PRJ-1025,Vendor A,BU-1,Hardware,117,125,32130,34770,6.84,8.22,0.53,0.17,Low,On-Time
PRJ-1026,Vendor C,BU-1,Components,101,141,56367,71215,39.6,26.34,1.4,1.47,Medium,Delayed
PRJ-1027,Vendor C,BU-1,Components,76,85,48843,59340,11.84,21.49,0.24,1.12,Medium,On-Time
PRJ-1028,Vendor D,BU-3,Hardware,131,145,28903,30175,10.69,4.4,0.31,0.1,Low,On-Time
PRJ-1029,Vendor C,BU-2,Components,73,110,46648,58614,50.68,25.65,2.05,1.42,High,Delayed
PRJ-1030,Vendor A,BU-4,Software,83,98,65683,62658,18.07,-4.61,0.13,0.75,Low,On-Time
PRJ-1031,Vendor B,BU-1,Software,92,101,36742,38612,9.78,5.09,0.36,0.05,Low,On-Time
PRJ-1032,Vendor C,BU-4,Components,105,138,63086,79772,31.43,26.45,0.92,1.48,Medium,Delayed
PRJ-1033,Vendor C,BU-2,Components,97,145,57725,87379,49.48,51.37,1.98,3.26,High,Delayed
PRJ-1034,Vendor C,BU-3,Hardware,93,120,32711,31095,29.03,-4.94,0.77,0.77,Low,Delayed
PRJ-1035,Vendor A,BU-3,Components,124,106,60293,51023,-14.52,-15.37,1.79,1.52,Medium,On-Time
PRJ-1036,Vendor A,BU-1,Hardware,76,73,73405,72579,-3.95,-1.13,1.17,0.5,Medium,On-Time
PRJ-1037,Vendor A,BU-3,Components,90,85,82159,83685,-5.56,1.86,1.26,0.28,Medium,On-Time
PRJ-1038,Vendor C,BU-4,Software,105,130,43332,42786,23.81,-1.26,0.47,0.51,Low,Delayed
PRJ-1039,Vendor A,BU-1,Services,97,109,31995,29682,12.37,-7.23,0.21,0.94,Low,On-Time
PRJ-1040,Vendor A,BU-2,Software,104,137,55659,62802,31.73,12.83,0.93,0.5,Low,Delayed
PRJ-1041,Vendor C,BU-2,Components,109,148,56657,70728,35.78,24.84,1.17,1.36,Medium,Delayed
PRJ-1042,Vendor B,BU-1,Software,70,72,20075,14176,2.86,-29.38,0.77,2.52,High,On-Time
PRJ-1043,Vendor C,BU-3,Components,111,124,67447,79638,11.71,18.07,0.25,0.88,Low,On-Time
PRJ-1044,Vendor C,BU-1,Components,86,108,59707,71084,25.58,19.05,0.57,0.95,Low,Delayed
PRJ-1045,Vendor C,BU-2,Software,121,150,47723,59254,23.97,24.16,0.48,1.31,Medium,Delayed
PRJ-1046,Vendor D,BU-4,Components,82,95,63274,64115,15.85,1.33,0.0,0.32,Low,On-Time
PRJ-1047,Vendor A,BU-4,Components,95,93,63493,63759,-2.11,0.42,1.06,0.39,Medium,On-Time
PRJ-1048,Vendor C,BU-4,Components,98,120,23184,21254,22.45,-8.32,0.39,1.01,Medium,Delayed
PRJ-1049,Vendor C,BU-2,Services,86,136,62381,77677,58.14,24.52,2.49,1.34,High,Delayed
PRJ-1050,Vendor A,BU-4,Software,82,99,46411,49752,20.73,7.2,0.29,0.1,Low,Delayed
PRJ-1051,Vendor A,BU-4,Components,94,99,51454,53400,5.32,3.78,0.62,0.15,Low,On-Time
PRJ-1052,Vendor C,BU-2,Components,108,140,61560,75976,29.63,23.42,0.81,1.26,Medium,Delayed
PRJ-1053,Vendor C,BU-1,Software,91,105,64626,75523,15.38,16.86,0.03,0.79,Low,On-Time
PRJ-1054,Vendor B,BU-1,Components,99,120,43500,45824,21.21,5.34,0.31,0.04,Low,Delayed
PRJ-1055,Vendor D,BU-3,Components,68,58,39223,40116,-14.71,2.28,1.8,0.25,Medium,On-Time
PRJ-1056,Vendor C,BU-3,Software,85,108,39764,46680,27.06,17.39,0.66,0.83,Low,Delayed
PRJ-1057,Vendor A,BU-1,Software,97,117,48368,49409,20.62,2.15,0.28,0.26,Low,Delayed
PRJ-1058,Vendor A,BU-4,Components,91,109,57104,56233,19.78,-1.53,0.23,0.53,Low,On-Time
PRJ-1059,Vendor B,BU-3,Hardware,122,121,63084,65893,-0.82,4.45,0.98,0.1,Low,On-Time
PRJ-1060,Vendor A,BU-2,Services,88,114,28207,31562,29.55,11.89,0.81,0.43,Low,Delayed
PRJ-1061,Vendor A,BU-2,Components,78,93,55126,63404,19.23,15.02,0.2,0.66,Low,On-Time
PRJ-1062,Vendor B,BU-4,Hardware,101,129,60503,61656,27.72,1.91,0.7,0.28,Low,Delayed
PRJ-1063,Vendor D,BU-1,Components,107,109,24302,32286,1.87,32.85,0.83,1.93,Medium,On-Time
PRJ-1064,Vendor D,BU-4,Hardware,53,49,48370,50511,-7.55,4.43,1.38,0.1,Medium,On-Time
PRJ-1065,Vendor D,BU-4,Services,90,102,43249,48525,13.33,12.2,0.15,0.46,Low,On-Time
PRJ-1066,Vendor B,BU-1,Services,69,78,65906,75590,13.04,14.69,0.17,0.63,Low,On-Time
PRJ-1067,Vendor B,BU-1,Hardware,113,120,67689,70057,6.19,3.5,0.57,0.17,Low,On-Time
PRJ-1068,Vendor C,BU-3,Services,74,91,72335,89744,22.97,24.07,0.42,1.31,Medium,Delayed
PRJ-1069,Vendor A,BU-1,Components,105,85,32251,21409,-19.05,-33.62,2.06,2.82,Critical,On-Time
PRJ-1070,Vendor D,BU-2,Software,82,117,64723,69612,42.68,7.55,1.58,0.12,Medium,Delayed
PRJ-1071,Vendor D,BU-1,Services,64,68,55760,58384,6.25,4.71,0.57,0.08,Low,On-Time
